Title,Author,length
Sacred Woman,By: Queen Afua,Length: 27 hrs and 59 mins
Magic Outside the Box,By: Honor Raconteur,Length: 5 hrs and 58 mins
Extradition,By: Kelly Fox,Length: 9 hrs and 1 min
Enemies Abroad,By: R.S. Grey,Length: 7 hrs and 23 mins
Allow Me to Retort,By: Elie Mystal,Length: 8 hrs and 37 mins
Razzmatazz,By: Christopher Moore,Length: 9 hrs and 58 mins
How to Get Paid for What You Know,By: Graham Cochrane,Length: 6 hrs and 12 mins
Shared Insanity,By: KamikazePotato,Length: 19 hrs and 18 mins
The Vanishing Type,By: Ellery Adams,Length: 9 hrs and 1 min
Braiding Sweetgrass,By: Robin Wall Kimmerer,Length: 16 hrs and 44 mins
The Hate U Give,By: Angie Thomas,Length: 11 hrs and 50 mins
Hyperion,By: Dan Simmons,Length: 20 hrs and 44 mins
How Emotions Are Made,By: Lisa Feldman Barrett,Length: 14 hrs and 32 mins
A Darker Shade of Magic,By: V. E. Schwab,Length: 11 hrs and 34 mins
To Kill a Mockingbird,By: Harper Lee,Length: 12 hrs and 17 mins
Excavating the Evidence for Jesus,By: Titus Kennedy,Length: 11 hrs and 27 mins
The Murder Rule,By: Dervla McTiernan,Length: 9 hrs and 19 mins
The Five Dysfunctions of a Team,By: Patrick Lencioni,Length: 3 hrs and 42 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
The Other Half of the Grave,By: Jeaniene Frost,Length: 13 hrs and 13 mins
The Hitchhiker's Guide to the Galaxy,By: Douglas Adams,Length: 5 hrs and 51 mins
Fossil Future,By: Alex Epstein,Length: 16 hrs and 15 mins
Master Arcanist,By: Shami Stovall,Length: 18 hrs and 3 mins
El peligro de estar cuerda,By: Rosa Montero,Length: 9 hrs and 14 mins
Roma soy yo [Rome Is Me],By: Santiago Posteguillo,Length: 22 hrs and 13 mins
Grit,By: Angela Duckworth,Length: 9 hrs and 22 mins
The Millionaire Next Door,"By: Thomas J. Stanley Ph.D., William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Twisted Games,By: Elena Lawson,Length: 9 hrs and 49 mins
His Name Is George Floyd,"By: Robert Samuels, Toluse Olorunnipa",Length: 13 hrs and 32 mins
Still Grindin',By: Kendall Banks,Length: 8 hrs and 7 mins
The Netanyahus,By: Joshua Cohen,Length: 8 hrs and 31 mins
The Lioness,By: Chris Bohjalian,Length: 10 hrs and 30 mins
The Locked Door,By: Freida McFadden,Length: 8 hrs and 15 mins
The 14-Day New Keto Cleanse,By: JJ Smith,Length: 3 hrs and 9 mins
