Title,Author,length
Esperanza Rising,By: Pam Munoz Ryan,Length: 4 hrs and 42 mins
Setting the Table,By: Danny Meyer,Length: 5 hrs and 33 mins
Undistracted,By: Bob Goff,Length: 6 hrs and 1 min
Mafia War,By: L. Steele,Length: 7 hrs and 58 mins
The Captive Heart,By: Bertrice Small,Length: 13 hrs and 12 mins
Build,By: Tony Fadell,Length: 11 hrs and 5 mins
My Brilliant Friend,By: Elena Ferrante,Length: 12 hrs and 38 mins
SHIFT,"By: Gary Keller, Dave Jenks, Jay Papasan",Length: 8 hrs and 8 mins
Man's Search for Meaning,By: Viktor E. Frankl,Length: 4 hrs and 44 mins
The Selection,By: Kiera Cass,Length: 8 hrs and 7 mins
F the Shoulds. Do the Wants,By: Tricia Huffman,Length: 8 hrs and 33 mins
How Music Works,By: David Byrne,Length: 13 hrs and 10 mins
Manhunt,By: Gretchen Felker-Martin,Length: 10 hrs and 37 mins
Ocean State,By: Stewart O'Nan,Length: 5 hrs and 45 mins
Seen and Unseen,"By: Marc Lamont Hill, Todd Brewster",Length: 6 hrs and 9 mins
Playmakers,By: Mike Florio,Length: 12 hrs and 12 mins
Rezoom,"By: Susan Peirce Thompson PhD, Everett Considine",Length: 9 hrs and 58 mins
Sandy Hook,By: Elizabeth Williamson,Length: 16 hrs and 12 mins
Stolen Focus,By: Johann Hari,Length: 10 hrs and 12 mins
The Trials of Harry S. Truman,By: Jeffrey Frank,Length: 17 hrs and 3 mins
Red Bounty,"By: J.N. Chaney, Terry Maggert",Length: 9 hrs and 3 mins
The Doctor’s Daughter,By: Shari J. Ryan,Length: 10 hrs and 21 mins
Ancestor Trouble,By: Maud Newton,Length: 11 hrs and 14 mins
The Family Chao,By: Lan Samantha Chang,Length: 10 hrs and 57 mins
Trick,By: Laramie Briscoe,Length: 8 hrs and 27 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Algorithms to Live By,"By: Brian Christian, Tom Griffiths",Length: 11 hrs and 50 mins
Wool,By: Hugh Howey,Length: 17 hrs and 43 mins
Trump: The Art of the Deal,"By: Donald J. Trump, Tony Schwartz",Length: 9 hrs and 59 mins
Lone Survivor,"By: Marcus Luttrell, Patrick Robinson",Length: 14 hrs and 17 mins
Blade Runner,By: Philip K. Dick,Length: 9 hrs and 12 mins
Rotten to the Core,By: T E Kinsey,Length: 8 hrs and 46 mins
Doctor Heartless,By: J. Saman,Length: 9 hrs and 19 mins
A Fox's Love,By: Brandon Varnell,Length: 7 hrs and 16 mins
Those Three Little Words,By: Meghan Quinn,Length: 14 hrs and 19 mins
The Crucifixion of the King of Glory: The Amazing History and Sublime Mystery of the Passion,By: Eugenia Scarvelis Constantinou PhD,Length: 15 hrs and 50 mins
I Am Not Your Perfect Mexican Daughter,By: Erika L. Sánchez,Length: 9 hrs and 41 mins
The God Delusion,By: Richard Dawkins,Length: 13 hrs and 52 mins
The Last White Rose,By: Alison Weir,Length: 19 hrs and 50 mins
Beauty and the Baller,By: Ilsa Madden-Mills,Length: 10 hrs and 10 mins
On Tyranny (Expanded Audio Edition),By: Timothy Snyder,Length: 9 hrs and 45 mins
A Spy in Plain Sight,By: Lis Wiehl,Length: 9 hrs and 36 mins
The Fault in Our Stars,By: John Green,Length: 7 hrs and 11 mins
Post-Traumatic,By: Chantal V. Johnson,Length: 8 hrs and 18 mins
Lies in Bone,By: Natalie Symons,Length: 10 hrs and 38 mins
Grilling Dahmer,"By: Patrick Kennedy, Robyn Maharaj",Length: 10 hrs and 22 mins
It's Good to Be a Man,"By: Michael Foster, Dominic Bnonn Tennant",Length: 4 hrs and 57 mins
La historia que te cuentas [The Story You Tell Yourself],By: Paola Herrera,Length: 6 hrs and 49 mins
Off the Edge,By: Kelly Weill,Length: 7 hrs and 13 mins
The Magicians,By: Lev Grossman,Length: 17 hrs and 24 mins
Off to Be the Wizard,By: Scott Meyer,Length: 10 hrs and 45 mins
The Art of Thinking Clearly,By: Rolf Dobelli,Length: 7 hrs and 49 mins
The $100 Startup,By: Chris Guillebeau,Length: 8 hrs and 14 mins
The Circle Maker,By: Mark Batterson,Length: 7 hrs and 35 mins
Mountains Beyond Mountains,By: Tracy Kidder,Length: 10 hrs and 50 mins
Evicted,By: Matthew Desmond,Length: 11 hrs and 3 mins
Big Rock,By: Lauren Blakely,Length: 6 hrs and 5 mins
The Method,By: Isaac Butler,Length: 14 hrs and 34 mins
The Men We Need,By: Brant Hansen,Length: 5 hrs and 3 mins
"I'd Like to Play Alone, Please",By: Tom Segura,Length: 6 hrs and 4 mins
The Mothers and Daughters of the Bible Speak,By: Shannon Bream,Length: 7 hrs and 18 mins
"In Emergency, Break Glass",By: Nate Anderson,Length: 5 hrs and 33 mins
Stillhouse Lake,By: Rachel Caine,Length: 10 hrs and 4 mins
It Can't Happen Here,By: Sinclair Lewis,Length: 14 hrs and 28 mins
A Rising Man,By: Abir Mukherjee,Length: 11 hrs and 37 mins
The Perfect Storm,By: Sebastian Junger,Length: 9 hrs and 25 mins
The Tale of Despereaux,By: Kate DiCamillo,Length: 3 hrs and 30 mins
How to Begin,By: Michael Bungay Stanier,Length: 3 hrs and 12 mins
The Counterfeit Climax,"By: Dave Willis, Ashley Willis",Length: 3 hrs and 46 mins
Fair Catch,By: Kandi Steiner,Length: 8 hrs and 43 mins
Free Fall,By: Sara Cate,Length: 9 hrs and 16 mins
The Family Holiday,By: Shalini Boland,Length: 7 hrs and 36 mins
Dark State,By: Jack Slater,Length: 11 hrs and 30 mins
The Potter,By: Kristy Marie,Length: 8 hrs and 6 mins
The Hotel Nantucket,By: Elin Hilderbrand,Length: 12 hrs and 27 mins
After Steve,By: Tripp Mickle,Length: 14 hrs and 42 mins
Wildwood Whispers,By: Willa Reece,Length: 12 hrs and 47 mins
The Good Left Undone,By: Adriana Trigiani,Length: 13 hrs and 19 mins
How to Be Perfect,By: Michael Schur,Length: 9 hrs and 13 mins
Mind Gym,"By: Gary Mack, David Casstevens",Length: 5 hrs and 27 mins
"First, Break All the Rules","By: Marcus Buckingham, Gallup Press, Jim Harter - foreword",Length: 9 hrs and 51 mins
Stories of Your Life and Others,By: Ted Chiang,Length: 10 hrs and 23 mins
Far Journeys,By: Robert Monroe,Length: 10 hrs and 27 mins
Stealing Fire,"By: Steven Kotler, Jamie Wheal",Length: 8 hrs and 24 mins
The Cost of Discipleship,By: Dietrich Bonhoeffer,Length: 9 hrs
The Cartographers,By: Peng Shepherd,Length: 14 hrs and 15 mins
When Women Were Dragons,By: Kelly Barnhill,Length: 15 hrs and 29 mins
Here Goes Nothing,By: Steve Toltz,Length: 10 hrs
Contact,By: Carl Sagan,Length: 14 hrs and 45 mins
"Keep the Memories, Lose the Stuff","By: Matt Paxton, Jordan Michael Smith - contributor",Length: 5 hrs and 12 mins
Murder on Madison Square,By: Victoria Thompson,Length: 10 hrs and 9 mins
Not Drinking Tonight,By: Amanda E. White LPC,Length: 6 hrs and 42 mins
The War of Two Queens,By: Jennifer L. Armentrout,Length: 26 hrs and 38 mins
Perfect Strangers,By: J.T. Geissinger,Length: 10 hrs and 41 mins
Emotional Self Care for Black Women,By: B. True,Length: 3 hrs and 48 mins
Woman on Fire,By: Lisa Barr,Length: 12 hrs and 59 mins
The Unknown Beloved,By: Amy Harmon,Length: 14 hrs and 55 mins
How to Prevent the Next Pandemic,By: Bill Gates,Length: 8 hrs and 37 mins
Love That Story,By: Jonathan Van Ness,Length: 5 hrs and 44 mins
Managing Expectations,By: Minnie Driver,Length: 6 hrs and 48 mins
Radically Content,By: Jamie Varon,Length: 5 hrs and 36 mins
A Greene Family Vacation,By: Piper Rayne,Length: 2 hrs and 3 mins
The Memory Librarian,By: Janelle Monáe,Length: 12 hrs and 11 mins
Faithfully Different,By: Natasha Crain,Length: 7 hrs and 12 mins
Knowing God,By: J. I. Packer,Length: 10 hrs
The Haunting of Hill House,By: Shirley Jackson,Length: 7 hrs and 27 mins
The Emperor of All Maladies,By: Siddhartha Mukherjee,Length: 22 hrs and 18 mins
Life 3.0,By: Max Tegmark,Length: 13 hrs and 29 mins
Welfare Grind Part 3,By: Kendall Banks,Length: 7 hrs and 4 mins
Designing Your Life,"By: Bill Burnett, Dave Evans",Length: 6 hrs and 18 mins
Long Walk to Freedom,By: Nelson Mandela,Length: 27 hrs and 39 mins
What Got You Here Won't Get You There,"By: Marshall Goldsmith, Mark Reiter",Length: 9 hrs and 39 mins
The House on Mango Street,By: Sandra Cisneros,Length: 2 hrs and 18 mins
The Player of Games,By: Iain M. Banks,Length: 11 hrs and 25 mins
An Emperor's Gamble,By: J.D.L. Rosell,Length: 15 hrs and 7 mins
Reframing Organizations (7th Edition),"By: Lee G. Bolman, Terrence E. Deal",Length: 20 hrs and 44 mins
The Real Anthony Fauci,By: Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
A Bridge Too Far,By: Cornelius Ryan,Length: 18 hrs and 11 mins
Origin,By: Jennifer Raff,Length: 9 hrs and 12 mins
A History of Wild Places,By: Shea Ernshaw,Length: 11 hrs and 59 mins
Better than Happy,By: Jody Moore,Length: 8 hrs and 59 mins
The Riven Wyrde Saga (Omnibus Edition),By: Graham Austin-King,Length: 46 hrs and 10 mins
The Rise of Chess,By: Kit Falbo,Length: 11 hrs and 13 mins
Ruthless Creatures,By: J.T. Geissinger,Length: 10 hrs and 25 mins
Titan,By: Ron Chernow,Length: 35 hrs and 3 mins
Imagine Heaven,By: John Burke,Length: 10 hrs and 30 mins
The Six Pillars of Self-Esteem,By: Dr. Nathaniel Branden,Length: 3 hrs and 23 mins
The Choice,By: Dr. Edith Eva Eger,Length: 12 hrs and 26 mins
The Mists of Avalon,By: Marion Zimmer Bradley,Length: 50 hrs and 53 mins
The Trickster's Tale,By: J Pal,Length: 12 hrs and 6 mins
A Deal with the Elf King,By: Elise Kova,Length: 11 hrs and 47 mins
"The DevOps Handbook, Second Edition","By: Gene Kim, Jez Humble, Patrick Debois, John Willis, Nicole Forsgren",Length: 15 hrs and 51 mins
Trillion Dollar Triage,By: Nick Timiraos,Length: 12 hrs and 33 mins
The Darkest Temptation,By: Danielle Lori,Length: 15 hrs and 33 mins
The Dancer and the Devil,"By: John E. O’Neill, Sarah C. Wynne",Length: 7 hrs and 11 mins
Corporate Rock Sucks,By: Jim Ruland,Length: 13 hrs and 54 mins
The Forsaken King,By: Penelope Barsetti,Length: 10 hrs
Hearts Touched with Fire,By: David Gergen,Length: 9 hrs and 54 mins
Left on Tenth,By: Delia Ephron,Length: 7 hrs and 39 mins
This Is How Your Marriage Ends,By: Matthew Fray,Length: 9 hrs and 15 mins
Burn Rate,By: Andy Dunn,Length: 8 hrs and 26 mins
The No-Show,By: Beth O'Leary,Length: 10 hrs and 47 mins
Honor,By: Thrity Umrigar,Length: 11 hrs and 19 mins
The Truth About Crypto,By: Ric Edelman,Length: 8 hrs and 4 mins
The Longing of Lone Wolves,By: Lana Pecherczyk,Length: 10 hrs and 27 mins
Dead Drop,By: Tate James,Length: 11 hrs and 3 mins
The Making of the Atomic Bomb,By: Richard Rhodes,Length: 37 hrs and 16 mins
The Exorcist,By: William Peter Blatty,Length: 12 hrs and 51 mins
Imbalance,"By: R. L. Caulder, M. Sinclair",Length: 7 hrs and 24 mins
Founder Brand,By: Dave Gerhardt,Length: 3 hrs and 27 mins
With Prejudice,By: Robin Peguero,Length: 9 hrs and 55 mins
Irresistible Omegas Volume Three,By: Nora Phoenix,Length: 35 hrs and 40 mins
The Art of Happiness,"By: His Holiness the Dalai Lama, Howard C. Cutler MD",Length: 3 hrs and 18 mins
Kindred,By: Octavia E. Butler,Length: 10 hrs and 55 mins
The Great Gatsby,By: F. Scott Fitzgerald,Length: 4 hrs and 49 mins
The E-Myth Revisited,By: Michael E. Gerber,Length: 8 hrs and 5 mins
Alexander Hamilton,By: Ron Chernow,Length: 35 hrs and 58 mins
Getting Things Done,By: David Allen,Length: 10 hrs and 23 mins
Undaunted Courage,By: Stephen E. Ambrose,Length: 21 hrs and 40 mins
The Outsiders,By: S. E. Hinton,Length: 5 hrs and 8 mins
The Energy Bus,By: Jon Gordon,Length: 2 hrs and 39 mins
Hatchet,By: Gary Paulsen,Length: 3 hrs and 42 mins
Self-Compassion,By: Kristin Neff,Length: 8 hrs and 59 mins
Genghis Khan and the Making of the Modern World,By: Jack Weatherford,Length: 14 hrs and 20 mins
The Goal,"By: Eliyahu M. Goldratt, Jeff Cox",Length: 11 hrs and 45 mins
Matilda,By: Roald Dahl,Length: 4 hrs and 18 mins
Captivate,By: Vanessa Van Edwards,Length: 7 hrs and 28 mins
The Greatest Salesman in the World,By: Og Mandino,Length: 2 hrs and 33 mins
Napoleon,By: Andrew Roberts,Length: 32 hrs and 56 mins
The Game,By: Neil Strauss,Length: 9 hrs and 27 mins
The Operator,By: Robert O'Neill,Length: 9 hrs and 42 mins
Shantaram,By: Gregory David Roberts,Length: 42 hrs and 59 mins
The Celestine Prophecy,By: James Redfield,Length: 8 hrs and 27 mins
Fervent,By: Priscilla Shirer,Length: 4 hrs and 25 mins
The Chemist,By: Stephenie Meyer,Length: 17 hrs and 1 min
On the Road,By: Jack Kerouac,Length: 11 hrs and 8 mins
The Case Files of Aldicus Vescard,By: Mark William Chase,Length: 21 hrs and 17 mins
The Right,By: Matthew Continetti,Length: 14 hrs and 5 mins
Not My Father's Son: A Memoir,By: Alan Cumming,Length: 6 hrs and 28 mins
Kiwi,"By: Crystal Daniels, Sandy Alvarez",Length: 7 hrs and 1 min
The Bogle Effect,By: Eric Balchunas,Length: 10 hrs and 33 mins
The Dark Queens,By: Shelley Puhak,Length: 10 hrs and 50 mins
What My Bones Know,By: Stephanie Foo,Length: 10 hrs and 2 mins
Memphis,By: Tara M. Stringfellow,Length: 9 hrs and 23 mins
Cues,By: Vanessa Van Edwards,Length: 8 hrs and 1 min
He Said Together,By: Ruth Cardello,Length: 7 hrs
The Underground Railroad (Television Tie-in),By: Colson Whitehead,Length: 10 hrs and 43 mins
The Monk Who Sold His Ferrari,By: Robin Sharma,Length: 6 hrs and 34 mins
The Yearling,By: Marjorie Kinnan Rawlings,Length: 13 hrs and 58 mins
Berserker Bounty Hunter,By: Roland Carlsson,Length: 10 hrs and 3 mins
Band of Brothers,By: Stephen E. Ambrose,Length: 12 hrs and 37 mins
Under a Sky of Memories,By: Soraya M. Lane,Length: 10 hrs and 6 mins
The Intersectional Environmentalist,By: Leah Thomas,Length: 4 hrs and 1 min
Coach K,By: Ian O'Connor,Length: 16 hrs and 3 mins
How Civil Wars Start,By: Barbara F. Walter,Length: 7 hrs and 17 mins
The Triumph of Saint Katherine,By: Danie Ware,Length: 6 hrs and 39 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
Slaughterhouse-Five,By: Kurt Vonnegut,Length: 5 hrs and 13 mins
Red Notice,By: Bill Browder,Length: 14 hrs and 7 mins
The Blade Itself,By: Joe Abercrombie,Length: 22 hrs and 15 mins
The Hero with a Thousand Faces,By: Joseph Campbell,Length: 14 hrs and 37 mins
I Know Why the Caged Bird Sings,By: Maya Angelou,Length: 10 hrs and 11 mins
Paddle Your Own Canoe,By: Nick Offerman,Length: 10 hrs and 50 mins
The Ideal Team Player,By: Patrick M. Lencioni,Length: 5 hrs and 3 mins
Fanatical Prospecting,By: Jeb Blount,Length: 8 hrs and 21 mins
"The Go-Giver, Expanded Edition","By: Bob Burg, John David Mann",Length: 2 hrs and 54 mins
Night,By: Elie Wiesel,Length: 4 hrs and 17 mins
The Good Girl,By: Mary Kubica,Length: 10 hrs and 38 mins
Charlotte's Web,By: E. B. White,Length: 3 hrs and 34 mins
Slow Horses,By: Mick Herron,Length: 10 hrs and 46 mins
Wild at Heart,By: John Eldredge,Length: 8 hrs and 20 mins
Grant,By: Ron Chernow,Length: 48 hrs and 2 mins
The Maze Runner,By: James Dashner,Length: 10 hrs and 50 mins
Little Fires Everywhere,By: Celeste Ng,Length: 11 hrs and 27 mins
Falling Upward,By: Richard Rohr,Length: 6 hrs and 27 mins
The Universe Has Your Back,By: Gabrielle Bernstein,Length: 4 hrs and 30 mins
A Wizard of Earthsea,By: Ursula K. Le Guin,Length: 7 hrs and 17 mins
The Deal,By: Elle Kennedy,Length: 12 hrs and 26 mins
Slouching Towards Bethlehem,By: Joan Didion,Length: 6 hrs and 52 mins
The Last Black Unicorn,By: Tiffany Haddish,Length: 6 hrs and 29 mins
TED Talks,By: Chris Anderson,Length: 7 hrs and 31 mins
Call Me by Your Name,By: André Aciman,Length: 7 hrs and 48 mins
The Book of Five Rings,"By: Miyamoto Musashi, William Scott Wilson - translator",Length: 2 hrs and 41 mins
"Graceland, At Last",By: Margaret Renkl,Length: 7 hrs and 56 mins
My Seven Black Fathers,By: Will Jawando,Length: 7 hrs and 35 mins
We Do This ‘Til We Free Us,By: Mariame Kaba,Length: 9 hrs and 25 mins
There Are No Accidents,By: Jessie Singer,Length: 8 hrs and 50 mins
Mutual Aid,By: Dean Spade,Length: 4 hrs and 41 mins
Toxic,By: Maggie Cole,Length: 10 hrs and 8 mins
The Shining Girls,By: Lauren Beukes,Length: 10 hrs and 33 mins
Ikigai,"By: Héctor García, Francesc Miralles",Length: 3 hrs and 18 mins
I Never Thought of It That Way,By: Mónica Guzmán,Length: 8 hrs and 47 mins
City on Fire,By: Don Winslow,Length: 8 hrs and 54 mins
Happy at Any Cost,By: Kirsten Grind,Length: 9 hrs and 11 mins
Empire of the Scalpel,By: Ira Rutkow MD,Length: 15 hrs and 22 mins
Dava Shastri's Last Day,By: Kirthana Ramisetti,Length: 12 hrs and 59 mins
PIHKAL,"By: Alexander Shulgin, Ann Shulgin",Length: 22 hrs and 29 mins
Into Every Generation a Slayer Is Born,By: Evan Ross Katz,Length: 11 hrs and 42 mins
Wild and Wicked Things,By: Francesca May,Length: 14 hrs and 48 mins
The Protectorate War,By: Emmet Moss,Length: 25 hrs and 28 mins
The Awesome Human Project,By: Nataly Kogan,Length: 8 hrs and 6 mins
Until Leaves Fall in Paris,By: Sarah Sundin,Length: 9 hrs and 35 mins
Grief Is Love,By: Marisa Renee Lee,Length: 4 hrs and 14 mins
"Spies, Lies, and Algorithms",By: Amy B. Zegart,Length: 11 hrs and 54 mins
Not One Inch,By: M.E. Sarotte,Length: 15 hrs and 54 mins
The Rising of the Shield Hero Volume 02,By: Aneko Yusagi,Length: 7 hrs and 4 mins
Sex at Dawn,"By: Christopher Ryan, Cacilda Jetha",Length: 10 hrs and 57 mins
When We Cease to Understand the World,"By: Benjamin Labatut, Adrian West - translator",Length: 5 hrs and 40 mins
Liberalism and Its Discontents,By: Francis Fukuyama,Length: 5 hrs and 13 mins
My Summer Darlings,By: May Cobb,Length: 9 hrs and 43 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Benjamin Franklin: An American Life,By: Walter Isaacson,Length: 24 hrs and 40 mins
Reincarnation Blues,By: Michael Poore,Length: 13 hrs and 3 mins
Marrying the Ketchups,By: Jennifer Close,Length: 11 hrs and 12 mins
Strangers We Know,By: Elle Marr,Length: 9 hrs and 3 mins
The Life We're Looking For,By: Andy Crouch,Length: 5 hrs and 55 mins
Deaf Utopia,"By: Nyle DiMarco, Robert Siebert",Length: 10 hrs and 49 mins
Everybody Writes,By: Ann Handley,Length: 8 hrs and 44 mins
Big Feelings,"By: Liz Fosslien, Mollie West Duffy",Length: 5 hrs and 48 mins
Song of Spider-Man,By: Glen Berger,Length: 10 hrs and 55 mins
The Human Element,"By: Loran Nordgren, David Schonthal",Length: 7 hrs and 13 mins
Black Sunshine,By: Karina Halle,Length: 12 hrs and 45 mins
The Heroine's Journey,By: Maureen Murdock,Length: 7 hrs and 35 mins
All the Queen's Men,By: SJ Bennett,Length: 10 hrs and 16 mins
The Future of Money,By: Eswar S. Prasad,Length: 19 hrs and 46 mins
The Recruiter,By: Douglas London,Length: 17 hrs and 13 mins
Awake & Alive to Truth,By: John L. Cooper,Length: 4 hrs and 32 mins
Moment in Time,By: Suzanne Redfearn,Length: 9 hrs and 16 mins
The Warlock: Book 1,By: Dante King,Length: 11 hrs and 50 mins
Native American Herbalist’s Bible: 5 Books in 1,By: Lyotanka Sioux,Length: 7 hrs and 49 mins
Fated,By: Katerina Martinez,Length: 5 hrs and 39 mins
The Gates of Europe,By: Serhii Plokhy,Length: 15 hrs and 20 mins
The True Believer,By: Eric Hoffer,Length: 5 hrs and 17 mins
I Married a Lizardman,By: Regine Abel,Length: 6 hrs and 47 mins
La guía de los padres empáticos para criar a un niño ansioso [The Empathic Parent's Guide to Raising an Anxious Child],By: Freeda Meighan,Length: 1 hr and 36 mins
Small Things Like These,By: Claire Keegan,Length: 1 hr and 57 mins
Lockdown: The Socialist Plan to Take Away Your Freedom,By: Cheryl K. Chumley,Length: 8 hrs and 52 mins
Tasha,By: Brian Morton,Length: 4 hrs and 26 mins
The Black Prism,By: Brent Weeks,Length: 21 hrs and 26 mins
Be Obsessed or Be Average,By: Grant Cardone,Length: 11 hrs and 4 mins
The City of Dusk,By: Tara Sim,Length: 24 hrs and 51 mins
Lies My Mother Told Me,By: Melissa Rivers,Length: 6 hrs
"Naked Statues, Fat Gladiators, and War Elephants",By: Garrett Ryan,Length: 7 hrs and 32 mins
A Fate of Wrath and Flame,By: K. A. Tucker,Length: 18 hrs and 18 mins
No Escape,By: Nury Turkel,Length: 9 hrs and 29 mins
Spouse on Haunted Hill,By: E.J. Copperman,Length: 8 hrs and 46 mins
Mindhunter,"By: John E. Douglas, Mark Olshaker",Length: 15 hrs and 24 mins
The Demon-Haunted World,By: Carl Sagan,Length: 17 hrs and 23 mins
French Braid,By: Anne Tyler,Length: 9 hrs and 4 mins
Tough,By: Terry Crews,Length: 9 hrs and 13 mins
The Book of Cold Cases,By: Simone St. James,Length: 10 hrs and 44 mins
The Power of Regret,By: Daniel H. Pink,Length: 5 hrs and 29 mins
The Love Connection,By: Denise Williams,Length: 3 hrs and 36 mins
Oak Orks of the Antilles,By: J. L. Langland,Length: 16 hrs and 15 mins
Best Beast,By: E.J. Russell,Length: 4 hrs and 22 mins
El Libro Negro de las Horas,By: Eva García Sáenz de Urturi,Length: 9 hrs and 28 mins
Summer on the Island,By: Brenda Novak,Length: 11 hrs and 30 mins
Wizard's Tower,By: Gregory Allanther,Length: 12 hrs and 4 mins
Vipers and Virtuosos,By: Sav R. Miller,Length: 11 hrs and 34 mins
Who Killed Jane Stanford?,By: Richard White,Length: 11 hrs and 28 mins
Whirlwind,"By: L.T. Ryan, Brian Shea",Length: 4 hrs and 55 mins
Growth Hero 2,By: Brent Tyman,Length: 11 hrs and 15 mins
"Strong Fathers, Strong Daughters",By: Meg Meeker,Length: 7 hrs and 4 mins
Swan Song,By: Robert R. McCammon,Length: 34 hrs and 19 mins
1-2-3 Magic,By: Thomas W. Phelan PhD,Length: 7 hrs and 1 min
One Up On Wall Street,By: Peter Lynch,Length: 2 hrs and 11 mins
The Patient,By: Tim Sullivan,Length: 11 hrs and 50 mins
Forbidden City,By: Vanessa Hua,Length: 13 hrs and 29 mins
Siren Queen,By: Nghi Vo,Length: 8 hrs and 43 mins
Anchored,"By: Deb Dana, Stephen Porges PhD - Foreword by",Length: 6 hrs and 22 mins
Astrophysics for People in a Hurry,By: Neil deGrasse Tyson,Length: 3 hrs and 41 mins
The Miracle Morning,By: Hal Elrod,Length: 4 hrs and 57 mins
The Kybalion,By: The Three Intiates,Length: 4 hrs and 6 mins
Into the Wild,By: Jon Krakauer,Length: 7 hrs and 5 mins
Leonardo da Vinci,By: Walter Isaacson,Length: 17 hrs and 1 min
As a Man Thinketh,By: James Allen,Length: 55 mins
Anne Frank: The Diary of a Young Girl,By: Anne Frank,Length: 9 hrs and 55 mins
American Sniper,"By: Chris Kyle, Scott McEwan, Jim DeFelice",Length: 10 hrs and 18 mins
The State of Affairs,By: Esther Perel,Length: 11 hrs and 57 mins
Brighter by the Day,By: Robin Roberts,Length: 3 hrs and 43 mins
Coming in from the Cold,By: Sarina Bowen,Length: 6 hrs and 33 mins
Cheap Speech,By: Richard L. Hasen,Length: 5 hrs and 48 mins
The Good-Enough Life,By: Avram Alpert,Length: 9 hrs and 14 mins
The Dragon,By: Jamie Lee Grey,Length: 7 hrs and 16 mins
The Real Diana,By: Lady Colin Campbell,Length: 15 hrs and 50 mins
Las tres heridas,By: Paloma Sánchez-Garnica,Length: 23 hrs and 30 mins
Bringing Up Bébé,By: Pamela Druckerman,Length: 9 hrs and 8 mins
In Harm's Way,By: Doug Stanton,Length: 8 hrs and 12 mins
Down the Rabbit Hole,By: Holly Madison,Length: 10 hrs and 51 mins
Love Does,By: Bob Goff,Length: 5 hrs and 35 mins
The End of the Affair,By: Graham Greene,Length: 6 hrs and 28 mins
How to Manage Your Home Without Losing Your Mind,By: Dana K. White,Length: 6 hrs and 15 mins
No Bad Kids,By: Janet Lansbury,Length: 3 hrs and 29 mins
Rains of Liscor,By: pirateaba,Length: 32 hrs
Anxiety & Communication in Relationship,By: Violet Marrow,Length: 11 hrs and 22 mins
Translating Myself and Others,By: Jhumpa Lahiri,Length: 5 hrs and 40 mins
The Kaiju Preservation Society,By: John Scalzi,Length: 8 hrs and 2 mins
The 2% Way,By: Dr. Myron L. Rolle,Length: 6 hrs and 52 mins
A Killer by Design,"By: Ann Wolbert Burgess, Steven Matthew Constantine",Length: 9 hrs and 2 mins
A Perilous Perspective,By: Anna Lee Huber,Length: 11 hrs and 30 mins
#GIRLBOSS,By: Sophia Amoruso,Length: 4 hrs and 41 mins
Feral,"By: James DeMonaco, B. K. Evenson",Length: 9 hrs and 54 mins
Wild Power,"By: Alexandra Pope, Sjanie Hugo Wurlitzer",Length: 8 hrs and 33 mins
UnSelfie,By: Michele Borba Dr.,Length: 8 hrs and 22 mins
"Men Are from Mars, Women Are from Venus",By: John Gray,Length: 9 hrs and 28 mins
Second Chance Contract,By: M. Robinson,Length: 7 hrs and 25 mins
Six-Minute X-Ray,By: Chase Hughes,Length: 6 hrs and 13 mins
The Devil and the Deep Blue Sea,By: Elizabeth O'Roark,Length: 9 hrs and 28 mins
Uncharted,By: S. D. Perry,Length: 8 hrs and 24 mins
Illuminae,"By: Amie Kaufman, Jay Kristoff",Length: 11 hrs and 40 mins
Rocket Boys,By: Homer Hickam,Length: 13 hrs and 38 mins
The Liar's Knot,By: M. A. Carrick,Length: 23 hrs and 13 mins
The Ogress and the Orphans,By: Kelly Barnhill,Length: 13 hrs and 4 mins
Blind Bake,By: Denise Grover Swank,Length: 12 hrs and 58 mins
Blank Canvas,By: Marcy Gregg,Length: 7 hrs and 2 mins
Moonstruck,By: Onley James,Length: 8 hrs and 42 mins
"Irresistible Omegas, Volume Two",By: Nora Phoenix,Length: 21 hrs and 6 mins
It's Kind of a Funny Story,By: Ned Vizzini,Length: 8 hrs and 35 mins
Great Expectations,By: Charles Dickens,Length: 18 hrs and 32 mins
Should I Stay or Should I Go?,By: Ramani Durvasula PhD,Length: 10 hrs and 46 mins
Fried Green Tomatoes at the Whistle Stop Cafe,By: Fannie Flagg,Length: 11 hrs and 27 mins
Scattered,By: Gabor Maté MD,Length: 10 hrs and 58 mins
Uglies,By: Scott Westerfeld,Length: 10 hrs and 12 mins
The TB12 Method,By: Tom Brady,Length: 6 hrs and 55 mins
The Panama Papers,"By: Frederik Obermaier, Bastian Obermayer",Length: 12 hrs and 2 mins
"The China Study, Revised and Expanded Edition","By: T. Colin Campbell PhD, Thomas M. Campbell II MD",Length: 18 hrs and 2 mins
The Radium Girls,By: Kate Moore,Length: 15 hrs and 52 mins
Death by Meeting,By: Patrick Lencioni,Length: 4 hrs and 31 mins
Healing from Hidden Abuse,By: Shannon Thomas LCSW,Length: 6 hrs and 26 mins
